item_id,location,ds,y,product_category
sku - 015,London,2/1/22 0:00,298,Safety equipment
sku - 187,Tokyo,2/1/22 0:00,240,Suspension and steering
sku - 015,London,1/1/22 0:00,297,Safety equipment
sku - 187,Tokyo,1/1/22 0:00,239,Suspension and steering
sku - 015,London,12/1/21 0:00,297,Safety equipment
sku - 187,Tokyo,12/1/21 0:00,239,Suspension and steering
sku - 015,London,11/1/21 0:00,298,Safety equipment
sku - 187,Tokyo,11/1/21 0:00,258,Suspension and steering
sku - 015,London,10/1/21 0:00,299,Safety equipment
sku - 187,Tokyo,10/1/21 0:00,300,Suspension and steering
sku - 015,London,12/1/23 0:00,300,Safety equipment
sku - 187,Tokyo,12/1/23 0:00,300,Suspension and steering
sku - 015,London,11/1/23 0:00,300,Safety equipment
sku - 187,Tokyo,11/1/23 0:00,300,Suspension and steering
sku - 015,London,10/1/23 0:00,300,Safety equipment
sku - 187,Tokyo,10/1/23 0:00,300,Suspension and steering
sku - 015,London,9/1/23 0:00,300,Safety equipment
sku - 187,Tokyo,9/1/23 0:00,260,Suspension and steering
sku - 015,London,8/1/23 0:00,301,Safety equipment
sku - 187,Tokyo,8/1/23 0:00,260,Suspension and steering
sku - 015,London,7/1/23 0:00,302,Safety equipment
sku - 187,Tokyo,7/1/23 0:00,275,Suspension and steering
sku - 015,London,6/1/23 0:00,302,Safety equipment
sku - 187,Tokyo,6/1/23 0:00,275,Suspension and steering
sku - 015,London,5/1/23 0:00,363,Safety equipment
sku - 187,Tokyo,5/1/23 0:00,379,Suspension and steering
sku - 015,London,4/1/23 0:00,361,Safety equipment
sku - 187,Tokyo,4/1/23 0:00,378,Suspension and steering
sku - 015,London,3/1/23 0:00,359,Safety equipment
sku - 187,Tokyo,3/1/23 0:00,357,Suspension and steering
sku - 015,London,2/1/23 0:00,357,Safety equipment
sku - 187,Tokyo,2/1/23 0:00,299,Suspension and steering
sku - 015,London,1/1/23 0:00,289,Safety equipment
sku - 187,Tokyo,1/1/23 0:00,246,Suspension and steering
sku - 024,Jakarta,12/1/22 0:00,246,Electrical systems
sku - 024,Jakarta,11/1/22 0:00,280,Electrical systems
sku - 024,Jakarta,10/1/22 0:00,368,Electrical systems
sku - 024,Jakarta,9/1/22 0:00,371,Electrical systems
sku - 024,Jakarta,8/1/22 0:00,350,Electrical systems
sku - 024,Jakarta,7/1/22 0:00,311,Electrical systems
sku - 024,Jakarta,6/1/22 0:00,273,Electrical systems
sku - 024,Jakarta,5/1/22 0:00,230,Electrical systems
sku - 024,Jakarta,4/1/22 0:00,168,Electrical systems
sku - 024,Jakarta,3/1/22 0:00,166,Electrical systems
sku - 024,Jakarta,2/1/22 0:00,183,Electrical systems
sku - 024,Jakarta,1/1/22 0:00,216,Electrical systems
sku - 024,Jakarta,12/1/21 0:00,435,Electrical systems
sku - 024,Jakarta,11/1/21 0:00,412,Electrical systems
sku - 024,Jakarta,10/1/21 0:00,443,Electrical systems
sku - 024,Jakarta,12/1/23 0:00,300,Electrical systems
sku - 024,Jakarta,11/1/23 0:00,300,Electrical systems
sku - 024,Jakarta,10/1/23 0:00,300,Electrical systems
sku - 024,Jakarta,9/1/23 0:00,329,Electrical systems
sku - 024,Jakarta,8/1/23 0:00,311,Electrical systems
sku - 024,Jakarta,7/1/23 0:00,276,Electrical systems
sku - 024,Jakarta,6/1/23 0:00,217,Electrical systems
sku - 024,Jakarta,5/1/23 0:00,183,Electrical systems
sku - 024,Jakarta,4/1/23 0:00,162,Electrical systems
sku - 024,Jakarta,3/1/23 0:00,160,Electrical systems
sku - 024,Jakarta,2/1/23 0:00,177,Electrical systems
sku - 024,Jakarta,1/1/23 0:00,208,Electrical systems
sku - 028,Seattle,12/1/22 0:00,284,Suspension and steering
sku - 045,London,12/1/22 0:00,352,Suspension and steering
sku - 028,Seattle,11/1/22 0:00,258,Suspension and steering
sku - 045,London,11/1/22 0:00,442,Suspension and steering
sku - 028,Seattle,10/1/22 0:00,259,Suspension and steering
sku - 045,London,10/1/22 0:00,445,Suspension and steering
sku - 028,Seattle,9/1/22 0:00,287,Suspension and steering
sku - 045,London,9/1/22 0:00,428,Suspension and steering
sku - 028,Seattle,8/1/22 0:00,215,Suspension and steering
sku - 045,London,8/1/22 0:00,397,Suspension and steering
sku - 028,Seattle,7/1/22 0:00,250,Suspension and steering
sku - 045,London,7/1/22 0:00,359,Suspension and steering
sku - 028,Seattle,6/1/22 0:00,280,Suspension and steering
sku - 045,London,6/1/22 0:00,359,Suspension and steering
sku - 028,Seattle,5/1/22 0:00,385,Suspension and steering
sku - 045,London,5/1/22 0:00,336,Suspension and steering
sku - 028,Seattle,4/1/22 0:00,384,Suspension and steering
sku - 045,London,4/1/22 0:00,334,Suspension and steering
sku - 028,Seattle,3/1/22 0:00,361,Suspension and steering
sku - 045,London,3/1/22 0:00,352,Suspension and steering
sku - 028,Seattle,2/1/22 0:00,321,Suspension and steering
sku - 045,London,2/1/22 0:00,387,Suspension and steering
sku - 028,Seattle,1/1/22 0:00,276,Suspension and steering
sku - 045,London,1/1/22 0:00,312,Suspension and steering
sku - 028,Seattle,12/1/21 0:00,237,Suspension and steering
sku - 045,London,12/1/21 0:00,339,Suspension and steering
sku - 028,Seattle,11/1/21 0:00,215,Suspension and steering
sku - 045,London,11/1/21 0:00,356,Suspension and steering
sku - 028,Seattle,10/1/21 0:00,216,Suspension and steering
sku - 045,London,10/1/21 0:00,357,Suspension and steering
sku - 028,Seattle,12/1/23 0:00,300,Suspension and steering
sku - 045,London,12/1/23 0:00,300,Suspension and steering
sku - 028,Seattle,11/1/23 0:00,300,Suspension and steering
sku - 045,London,11/1/23 0:00,300,Suspension and steering
sku - 028,Seattle,10/1/23 0:00,300,Suspension and steering
sku - 045,London,10/1/23 0:00,300,Suspension and steering
sku - 028,Seattle,9/1/23 0:00,235,Suspension and steering
sku - 045,London,9/1/23 0:00,428,Suspension and steering
sku - 028,Seattle,8/1/23 0:00,273,Suspension and steering
sku - 045,London,8/1/23 0:00,396,Suspension and steering
sku - 028,Seattle,7/1/23 0:00,270,Suspension and steering
sku - 045,London,7/1/23 0:00,359,Suspension and steering
sku - 028,Seattle,6/1/23 0:00,434,Suspension and steering
sku - 045,London,6/1/23 0:00,325,Suspension and steering
sku - 028,Seattle,5/1/23 0:00,461,Suspension and steering
sku - 045,London,5/1/23 0:00,304,Suspension and steering
sku - 028,Seattle,4/1/23 0:00,460,Suspension and steering
sku - 045,London,4/1/23 0:00,302,Suspension and steering
sku - 028,Seattle,3/1/23 0:00,432,Suspension and steering
sku - 045,London,3/1/23 0:00,318,Suspension and steering
sku - 028,Seattle,2/1/23 0:00,385,Suspension and steering
sku - 045,London,2/1/23 0:00,350,Suspension and steering
sku - 028,Seattle,1/1/23 0:00,331,Suspension and steering
sku - 045,London,1/1/23 0:00,324,Suspension and steering
sku - 002,London,12/1/22 0:00,319,Body and chassis
sku - 238,Mumbai,12/1/22 0:00,245,Powertrain Components
sku - 002,London,11/1/22 0:00,296,Body and chassis
sku - 238,Mumbai,11/1/22 0:00,265,Powertrain Components
sku - 002,London,10/1/22 0:00,274,Body and chassis
sku - 238,Mumbai,10/1/22 0:00,283,Powertrain Components
sku - 002,London,9/1/22 0:00,271,Body and chassis
sku - 238,Mumbai,9/1/22 0:00,296,Powertrain Components
sku - 002,London,8/1/22 0:00,293,Body and chassis
sku - 238,Mumbai,8/1/22 0:00,285,Powertrain Components
sku - 002,London,7/1/22 0:00,303,Body and chassis
sku - 238,Mumbai,7/1/22 0:00,278,Powertrain Components
sku - 002,London,6/1/22 0:00,323,Body and chassis
sku - 238,Mumbai,6/1/22 0:00,264,Powertrain Components
sku - 002,London,5/1/22 0:00,351,Body and chassis
sku - 238,Mumbai,5/1/22 0:00,245,Powertrain Components
sku - 002,London,4/1/22 0:00,377,Body and chassis
sku - 238,Mumbai,4/1/22 0:00,228,Powertrain Components
sku - 002,London,3/1/22 0:00,395,Body and chassis
sku - 238,Mumbai,3/1/22 0:00,216,Powertrain Components
sku - 002,London,2/1/22 0:00,428,Body and chassis
sku - 238,Mumbai,2/1/22 0:00,213,Powertrain Components
sku - 002,London,1/1/22 0:00,338,Body and chassis
sku - 238,Mumbai,1/1/22 0:00,219,Powertrain Components
sku - 002,London,12/1/21 0:00,319,Body and chassis
sku - 238,Mumbai,12/1/21 0:00,282,Powertrain Components
sku - 002,London,11/1/21 0:00,296,Body and chassis
sku - 238,Mumbai,11/1/21 0:00,304,Powertrain Components
sku - 002,London,10/1/21 0:00,274,Body and chassis
sku - 238,Mumbai,10/1/21 0:00,325,Powertrain Components
sku - 002,London,12/1/23 0:00,300,Body and chassis
sku - 238,Mumbai,12/1/23 0:00,300,Powertrain Components
sku - 002,London,11/1/23 0:00,300,Body and chassis
sku - 238,Mumbai,11/1/23 0:00,300,Powertrain Components
sku - 002,London,10/1/23 0:00,300,Body and chassis
sku - 238,Mumbai,10/1/23 0:00,300,Powertrain Components
sku - 002,London,9/1/23 0:00,201,Body and chassis
sku - 238,Mumbai,9/1/23 0:00,353,Powertrain Components
sku - 002,London,8/1/23 0:00,197,Body and chassis
sku - 238,Mumbai,8/1/23 0:00,357,Powertrain Components
sku - 002,London,7/1/23 0:00,262,Body and chassis
sku - 238,Mumbai,7/1/23 0:00,331,Powertrain Components
sku - 002,London,6/1/23 0:00,280,Body and chassis
sku - 238,Mumbai,6/1/23 0:00,314,Powertrain Components
sku - 002,London,5/1/23 0:00,304,Body and chassis
sku - 238,Mumbai,5/1/23 0:00,292,Powertrain Components
sku - 002,London,4/1/23 0:00,326,Body and chassis
sku - 238,Mumbai,4/1/23 0:00,271,Powertrain Components
sku - 002,London,3/1/23 0:00,341,Body and chassis
sku - 238,Mumbai,3/1/23 0:00,257,Powertrain Components
sku - 002,London,2/1/23 0:00,345,Body and chassis
sku - 238,Mumbai,2/1/23 0:00,253,Powertrain Components
sku - 002,London,1/1/23 0:00,337,Body and chassis
sku - 238,Mumbai,1/1/23 0:00,324,Powertrain Components
sku - 104,London,12/1/22 0:00,374,Powertrain Components
sku - 191,Seattle,12/1/22 0:00,275,Safety equipment
sku - 104,London,11/1/22 0:00,360,Powertrain Components
sku - 191,Seattle,11/1/22 0:00,329,Safety equipment
sku - 104,London,10/1/22 0:00,357,Powertrain Components
sku - 191,Seattle,10/1/22 0:00,333,Safety equipment
sku - 104,London,9/1/22 0:00,375,Powertrain Components
sku - 191,Seattle,9/1/22 0:00,324,Safety equipment
sku - 104,London,8/1/22 0:00,358,Powertrain Components
sku - 191,Seattle,8/1/22 0:00,303,Safety equipment
sku - 104,London,7/1/22 0:00,341,Powertrain Components
sku - 191,Seattle,7/1/22 0:00,278,Safety equipment
sku - 104,London,6/1/22 0:00,328,Powertrain Components
sku - 191,Seattle,6/1/22 0:00,254,Safety equipment
sku - 104,London,5/1/22 0:00,322,Powertrain Components
sku - 191,Seattle,5/1/22 0:00,237,Safety equipment
sku - 104,London,4/1/22 0:00,269,Powertrain Components
sku - 191,Seattle,4/1/22 0:00,233,Safety equipment
sku - 104,London,3/1/22 0:00,279,Powertrain Components
sku - 191,Seattle,3/1/22 0:00,242,Safety equipment
sku - 104,London,2/1/22 0:00,293,Powertrain Components
sku - 191,Seattle,2/1/22 0:00,262,Safety equipment
sku - 104,London,1/1/22 0:00,295,Powertrain Components
sku - 191,Seattle,1/1/22 0:00,288,Safety equipment
sku - 104,London,12/1/21 0:00,306,Powertrain Components
sku - 191,Seattle,12/1/21 0:00,312,Safety equipment
sku - 104,London,11/1/21 0:00,310,Powertrain Components
sku - 191,Seattle,11/1/21 0:00,329,Safety equipment
sku - 104,London,10/1/21 0:00,371,Powertrain Components
sku - 191,Seattle,10/1/21 0:00,333,Safety equipment
sku - 104,London,12/1/23 0:00,300,Powertrain Components
sku - 191,Seattle,12/1/23 0:00,300,Safety equipment
sku - 104,London,11/1/23 0:00,300,Powertrain Components
sku - 191,Seattle,11/1/23 0:00,300,Safety equipment
sku - 104,London,10/1/23 0:00,300,Powertrain Components
sku - 191,Seattle,10/1/23 0:00,300,Safety equipment
sku - 104,London,9/1/23 0:00,293,Powertrain Components
sku - 191,Seattle,9/1/23 0:00,386,Safety equipment
sku - 104,London,8/1/23 0:00,280,Powertrain Components
sku - 191,Seattle,8/1/23 0:00,362,Safety equipment
sku - 104,London,7/1/23 0:00,267,Powertrain Components
sku - 191,Seattle,7/1/23 0:00,331,Safety equipment
sku - 104,London,6/1/23 0:00,210,Powertrain Components
sku - 191,Seattle,6/1/23 0:00,223,Safety equipment
sku - 104,London,5/1/23 0:00,344,Powertrain Components
sku - 191,Seattle,5/1/23 0:00,209,Safety equipment
sku - 104,London,4/1/23 0:00,348,Powertrain Components
sku - 191,Seattle,4/1/23 0:00,205,Safety equipment
sku - 104,London,3/1/23 0:00,360,Powertrain Components
sku - 191,Seattle,3/1/23 0:00,213,Safety equipment
sku - 104,London,2/1/23 0:00,308,Powertrain Components
sku - 191,Seattle,2/1/23 0:00,231,Safety equipment
sku - 104,London,1/1/23 0:00,362,Powertrain Components
sku - 191,Seattle,1/1/23 0:00,253,Safety equipment
sku - 120,London,12/1/22 0:00,377,Safety equipment
sku - 175,London,12/1/22 0:00,278,Body and chassis
sku - 120,London,11/1/22 0:00,394,Safety equipment
sku - 175,London,11/1/22 0:00,307,Body and chassis
sku - 120,London,10/1/22 0:00,409,Safety equipment
sku - 175,London,10/1/22 0:00,357,Body and chassis
sku - 120,London,9/1/22 0:00,319,Safety equipment
sku - 175,London,9/1/22 0:00,365,Body and chassis
sku - 120,London,8/1/22 0:00,322,Safety equipment
sku - 175,London,8/1/22 0:00,354,Body and chassis
sku - 120,London,7/1/22 0:00,317,Safety equipment
sku - 175,London,7/1/22 0:00,331,Body and chassis
sku - 120,London,6/1/22 0:00,307,Safety equipment
sku - 175,London,6/1/22 0:00,299,Body and chassis
sku - 120,London,5/1/22 0:00,246,Safety equipment
sku - 175,London,5/1/22 0:00,267,Body and chassis
sku - 120,London,4/1/22 0:00,236,Safety equipment
sku - 175,London,4/1/22 0:00,245,Body and chassis
sku - 120,London,3/1/22 0:00,304,Safety equipment
sku - 175,London,3/1/22 0:00,237,Body and chassis
sku - 120,London,2/1/22 0:00,302,Safety equipment
sku - 175,London,2/1/22 0:00,246,Body and chassis
sku - 120,London,1/1/22 0:00,307,Safety equipment
sku - 175,London,1/1/22 0:00,269,Body and chassis
sku - 120,London,12/1/21 0:00,257,Safety equipment
sku - 175,London,12/1/21 0:00,301,Body and chassis
sku - 120,London,11/1/21 0:00,268,Safety equipment
sku - 175,London,11/1/21 0:00,333,Body and chassis
sku - 120,London,10/1/21 0:00,314,Safety equipment
sku - 175,London,10/1/21 0:00,355,Body and chassis
sku - 120,London,12/1/23 0:00,300,Safety equipment
sku - 175,London,12/1/23 0:00,300,Body and chassis
sku - 120,London,11/1/23 0:00,300,Safety equipment
sku - 175,London,11/1/23 0:00,300,Body and chassis
sku - 120,London,10/1/23 0:00,300,Safety equipment
sku - 175,London,10/1/23 0:00,300,Body and chassis
sku - 120,London,9/1/23 0:00,260,Safety equipment
sku - 175,London,9/1/23 0:00,358,Body and chassis
sku - 120,London,8/1/23 0:00,354,Safety equipment
sku - 175,London,8/1/23 0:00,349,Body and chassis
sku - 120,London,7/1/23 0:00,350,Safety equipment
sku - 175,London,7/1/23 0:00,326,Body and chassis
sku - 120,London,6/1/23 0:00,339,Safety equipment
sku - 175,London,6/1/23 0:00,325,Body and chassis
sku - 120,London,5/1/23 0:00,325,Safety equipment
sku - 175,London,5/1/23 0:00,291,Body and chassis
sku - 120,London,4/1/23 0:00,312,Safety equipment
sku - 175,London,4/1/23 0:00,266,Body and chassis
sku - 120,London,3/1/23 0:00,303,Safety equipment
sku - 175,London,3/1/23 0:00,257,Body and chassis
sku - 120,London,2/1/23 0:00,359,Safety equipment
sku - 175,London,2/1/23 0:00,267,Body and chassis
sku - 120,London,1/1/23 0:00,213,Safety equipment
sku - 175,London,1/1/23 0:00,265,Body and chassis
sku - 115,Jakarta,12/1/22 0:00,288,Safety equipment
sku - 115,Jakarta,11/1/22 0:00,286,Safety equipment
sku - 115,Jakarta,10/1/22 0:00,284,Safety equipment
sku - 115,Jakarta,9/1/22 0:00,281,Safety equipment
sku - 115,Jakarta,8/1/22 0:00,279,Safety equipment
sku - 115,Jakarta,7/1/22 0:00,372,Safety equipment
sku - 115,Jakarta,6/1/22 0:00,374,Safety equipment
sku - 115,Jakarta,5/1/22 0:00,261,Safety equipment
sku - 115,Jakarta,4/1/22 0:00,264,Safety equipment
sku - 115,Jakarta,3/1/22 0:00,266,Safety equipment
sku - 115,Jakarta,2/1/22 0:00,277,Safety equipment
sku - 115,Jakarta,1/1/22 0:00,278,Safety equipment
sku - 115,Jakarta,12/1/21 0:00,305,Safety equipment
sku - 115,Jakarta,11/1/21 0:00,303,Safety equipment
sku - 115,Jakarta,10/1/21 0:00,300,Safety equipment
sku - 115,Jakarta,12/1/23 0:00,300,Safety equipment
sku - 115,Jakarta,11/1/23 0:00,300,Safety equipment
sku - 115,Jakarta,10/1/23 0:00,300,Safety equipment
sku - 115,Jakarta,9/1/23 0:00,279,Safety equipment
sku - 115,Jakarta,8/1/23 0:00,277,Safety equipment
sku - 115,Jakarta,7/1/23 0:00,277,Safety equipment
sku - 115,Jakarta,6/1/23 0:00,278,Safety equipment
sku - 115,Jakarta,5/1/23 0:00,282,Safety equipment
sku - 115,Jakarta,4/1/23 0:00,284,Safety equipment
sku - 115,Jakarta,3/1/23 0:00,287,Safety equipment
sku - 115,Jakarta,2/1/23 0:00,289,Safety equipment
sku - 115,Jakarta,1/1/23 0:00,289,Safety equipment
sku - 221,London,12/1/22 0:00,288,Body and chassis
sku - 285,London,12/1/22 0:00,341,Body and chassis
sku - 298,Jakarta,12/1/22 0:00,373,Suspension and steering
sku - 221,London,11/1/22 0:00,273,Body and chassis
sku - 285,London,11/1/22 0:00,321,Body and chassis
sku - 298,Jakarta,11/1/22 0:00,340,Suspension and steering
sku - 221,London,10/1/22 0:00,244,Body and chassis
sku - 285,London,10/1/22 0:00,247,Body and chassis
sku - 298,Jakarta,10/1/22 0:00,310,Suspension and steering
sku - 221,London,9/1/22 0:00,225,Body and chassis
sku - 285,London,9/1/22 0:00,212,Body and chassis
sku - 298,Jakarta,9/1/22 0:00,292,Suspension and steering
sku - 221,London,8/1/22 0:00,227,Body and chassis
sku - 285,London,8/1/22 0:00,182,Body and chassis
sku - 298,Jakarta,8/1/22 0:00,289,Suspension and steering
sku - 221,London,7/1/22 0:00,241,Body and chassis
sku - 285,London,7/1/22 0:00,165,Body and chassis
sku - 298,Jakarta,7/1/22 0:00,240,Suspension and steering
sku - 221,London,6/1/22 0:00,240,Body and chassis
sku - 285,London,6/1/22 0:00,196,Body and chassis
sku - 298,Jakarta,6/1/22 0:00,261,Suspension and steering
sku - 221,London,5/1/22 0:00,269,Body and chassis
sku - 285,London,5/1/22 0:00,217,Body and chassis
sku - 298,Jakarta,5/1/22 0:00,352,Suspension and steering
sku - 221,London,4/1/22 0:00,297,Body and chassis
sku - 285,London,4/1/22 0:00,252,Body and chassis
sku - 298,Jakarta,4/1/22 0:00,459,Suspension and steering
sku - 221,London,3/1/22 0:00,314,Body and chassis
sku - 285,London,3/1/22 0:00,408,Body and chassis
sku - 298,Jakarta,3/1/22 0:00,481,Suspension and steering
sku - 221,London,2/1/22 0:00,317,Body and chassis
sku - 285,London,2/1/22 0:00,345,Body and chassis
sku - 298,Jakarta,2/1/22 0:00,320,Suspension and steering
sku - 221,London,1/1/22 0:00,305,Body and chassis
sku - 285,London,1/1/22 0:00,423,Body and chassis
sku - 298,Jakarta,1/1/22 0:00,440,Suspension and steering
sku - 221,London,12/1/21 0:00,324,Body and chassis
sku - 285,London,12/1/21 0:00,352,Body and chassis
sku - 298,Jakarta,12/1/21 0:00,318,Suspension and steering
sku - 221,London,11/1/21 0:00,290,Body and chassis
sku - 285,London,11/1/21 0:00,331,Body and chassis
sku - 298,Jakarta,11/1/21 0:00,290,Suspension and steering
sku - 221,London,10/1/21 0:00,258,Body and chassis
sku - 285,London,10/1/21 0:00,322,Body and chassis
sku - 298,Jakarta,10/1/21 0:00,265,Suspension and steering
sku - 221,London,12/1/23 0:00,300,Body and chassis
sku - 285,London,12/1/23 0:00,300,Body and chassis
sku - 298,Jakarta,12/1/23 0:00,300,Suspension and steering
sku - 221,London,11/1/23 0:00,300,Body and chassis
sku - 285,London,11/1/23 0:00,300,Body and chassis
sku - 298,Jakarta,11/1/23 0:00,300,Suspension and steering
sku - 221,London,10/1/23 0:00,300,Body and chassis
sku - 285,London,10/1/23 0:00,300,Body and chassis
sku - 298,Jakarta,10/1/23 0:00,300,Suspension and steering
sku - 221,London,9/1/23 0:00,244,Body and chassis
sku - 285,London,9/1/23 0:00,246,Body and chassis
sku - 298,Jakarta,9/1/23 0:00,192,Suspension and steering
sku - 221,London,8/1/23 0:00,241,Body and chassis
sku - 285,London,8/1/23 0:00,211,Body and chassis
sku - 298,Jakarta,8/1/23 0:00,248,Suspension and steering
sku - 221,London,7/1/23 0:00,255,Body and chassis
sku - 285,London,7/1/23 0:00,191,Body and chassis
sku - 298,Jakarta,7/1/23 0:00,260,Suspension and steering
sku - 221,London,6/1/23 0:00,284,Body and chassis
sku - 285,London,6/1/23 0:00,192,Body and chassis
sku - 298,Jakarta,6/1/23 0:00,283,Suspension and steering
sku - 221,London,5/1/23 0:00,319,Body and chassis
sku - 285,London,5/1/23 0:00,212,Body and chassis
sku - 298,Jakarta,5/1/23 0:00,389,Suspension and steering
sku - 221,London,4/1/23 0:00,426,Body and chassis
sku - 285,London,4/1/23 0:00,247,Body and chassis
sku - 298,Jakarta,4/1/23 0:00,378,Suspension and steering
sku - 221,London,3/1/23 0:00,452,Body and chassis
sku - 285,London,3/1/23 0:00,287,Body and chassis
sku - 298,Jakarta,3/1/23 0:00,396,Suspension and steering
sku - 221,London,2/1/23 0:00,456,Body and chassis
sku - 285,London,2/1/23 0:00,322,Body and chassis
sku - 298,Jakarta,2/1/23 0:00,399,Suspension and steering
sku - 221,London,1/1/23 0:00,313,Body and chassis
sku - 285,London,1/1/23 0:00,342,Body and chassis
sku - 298,Jakarta,1/1/23 0:00,399,Suspension and steering
sku - 217,London,12/1/22 0:00,216,Powertrain Components
sku - 217,London,11/1/22 0:00,343,Powertrain Components
sku - 217,London,10/1/22 0:00,359,Powertrain Components
sku - 217,London,9/1/22 0:00,237,Powertrain Components
sku - 217,London,8/1/22 0:00,259,Powertrain Components
sku - 217,London,7/1/22 0:00,279,Powertrain Components
sku - 217,London,6/1/22 0:00,291,Powertrain Components
sku - 217,London,5/1/22 0:00,292,Powertrain Components
sku - 217,London,4/1/22 0:00,428,Powertrain Components
sku - 217,London,3/1/22 0:00,400,Powertrain Components
sku - 217,London,2/1/22 0:00,366,Powertrain Components
sku - 217,London,1/1/22 0:00,336,Powertrain Components
sku - 217,London,12/1/21 0:00,287,Powertrain Components
sku - 217,London,11/1/21 0:00,217,Powertrain Components
sku - 217,London,10/1/21 0:00,227,Powertrain Components
sku - 217,London,12/1/23 0:00,300,Powertrain Components
sku - 217,London,11/1/23 0:00,300,Powertrain Components
sku - 217,London,10/1/23 0:00,300,Powertrain Components
sku - 217,London,9/1/23 0:00,234,Powertrain Components
sku - 217,London,8/1/23 0:00,256,Powertrain Components
sku - 217,London,7/1/23 0:00,384,Powertrain Components
sku - 217,London,6/1/23 0:00,400,Powertrain Components
sku - 217,London,5/1/23 0:00,402,Powertrain Components
sku - 217,London,4/1/23 0:00,331,Powertrain Components
sku - 217,London,3/1/23 0:00,271,Powertrain Components
sku - 217,London,2/1/23 0:00,248,Powertrain Components
sku - 217,London,1/1/23 0:00,228,Powertrain Components
sku - 003,Seattle,12/1/22 0:00,283,Suspension and steering
sku - 004,London,12/1/22 0:00,366,Powertrain Components
sku - 182,Seattle,12/1/22 0:00,262,Body and chassis
sku - 205,Tokyo,12/1/22 0:00,400,Electrical systems
sku - 003,Seattle,11/1/22 0:00,285,Suspension and steering
sku - 004,London,11/1/22 0:00,344,Powertrain Components
sku - 182,Seattle,11/1/22 0:00,313,Body and chassis
sku - 205,Tokyo,11/1/22 0:00,374,Electrical systems
sku - 003,Seattle,10/1/22 0:00,288,Suspension and steering
sku - 004,London,10/1/22 0:00,318,Powertrain Components
sku - 182,Seattle,10/1/22 0:00,323,Body and chassis
sku - 205,Tokyo,10/1/22 0:00,403,Electrical systems
sku - 003,Seattle,9/1/22 0:00,291,Suspension and steering
sku - 004,London,9/1/22 0:00,366,Powertrain Components
sku - 182,Seattle,9/1/22 0:00,318,Body and chassis
sku - 205,Tokyo,9/1/22 0:00,311,Electrical systems
sku - 003,Seattle,8/1/22 0:00,293,Suspension and steering
sku - 004,London,8/1/22 0:00,369,Powertrain Components
sku - 182,Seattle,8/1/22 0:00,297,Body and chassis
sku - 205,Tokyo,8/1/22 0:00,308,Electrical systems
sku - 003,Seattle,7/1/22 0:00,293,Suspension and steering
